date,traffic
07/06/2023 10:30,8323.406
07/06/2023 10:45,8318.789
07/06/2023 11:00,8380.574
07/06/2023 11:15,8374.456
07/06/2023 11:30,8253.249
07/06/2023 11:45,8031.545
07/06/2023 12:00,7559.944
07/06/2023 12:15,7285.79
07/06/2023 12:30,7199.039
07/06/2023 12:45,7003.963
07/06/2023 13:00,7247.118
07/06/2023 13:15,7634.255
07/06/2023 13:30,7709.888
07/06/2023 13:45,7600.059
07/06/2023 14:00,7635.237
07/06/2023 14:15,7618.353
07/06/2023 14:30,7603.95
07/06/2023 14:45,7626.674
07/06/2023 15:00,7736.379
07/06/2023 15:15,7727.36
07/06/2023 15:30,7757.302
07/06/2023 15:45,7943.441
07/06/2023 16:00,8055.479
07/06/2023 16:15,8108.404
07/06/2023 16:30,8157.123
07/06/2023 16:45,8028.447
07/06/2023 17:00,7984.253
07/06/2023 17:15,7856.384
07/06/2023 17:30,7580.867
07/06/2023 17:45,7373.113
07/06/2023 18:00,7220.816
07/06/2023 18:15,6935.952
07/06/2023 18:30,6779.32
07/06/2023 18:45,6584.83
07/06/2023 19:00,6588.238
07/06/2023 19:15,6453.142
07/06/2023 19:30,6255.949
07/06/2023 19:45,5968.272
07/06/2023 20:00,5880.404
07/06/2023 20:15,5611.792
07/06/2023 20:30,5105.989
07/06/2023 20:45,4601.68
07/06/2023 21:00,4170.919
07/06/2023 21:15,3658.188
07/06/2023 21:30,3208.537
07/06/2023 21:45,2807.925
07/06/2023 22:00,2482.478
07/06/2023 22:15,2140.568
07/06/2023 22:30,1840.484
07/06/2023 22:45,1547.376
07/06/2023 23:00,1296.163
07/06/2023 23:15,1084.873
07/06/2023 23:30,934.438
07/06/2023 23:45,788.759
08/06/2023 00:00,680.437
08/06/2023 00:15,587.334
08/06/2023 00:30,515.068
08/06/2023 00:45,455.112
08/06/2023 01:00,386.609
08/06/2023 01:15,350.762
08/06/2023 01:30,317.587
08/06/2023 01:45,292.067
08/06/2023 02:00,279.526
08/06/2023 02:15,252.227
08/06/2023 02:30,223.618
08/06/2023 02:45,205.652
08/06/2023 03:00,201.053
08/06/2023 03:15,215.757
08/06/2023 03:30,209.991
08/06/2023 03:45,208.587
08/06/2023 04:00,228.173
08/06/2023 04:15,236.214
08/06/2023 04:30,242.723
08/06/2023 04:45,270.431
08/06/2023 05:00,358.521
08/06/2023 05:15,435.916
08/06/2023 05:30,619.302
08/06/2023 05:45,852.43
08/06/2023 06:00,1220.728
08/06/2023 06:15,1488.66
08/06/2023 06:30,1840.167
08/06/2023 06:45,2231.833
08/06/2023 07:00,2813.585
